Workers	temps_exec	Speedup	Pi	Relative_error	total_Points


1	122	0,81	3,1418067500	6,814900396537617E-3	16000000
1	159	1,00	3,1416775000	2,700745117609555E-3	16000000
1	159	0,99	3,1411700000	1,345348160622823E-2	16000000
1	159	1,01	3,1418830000	9,242013278681951E-3	16000000
1	159	0,99	3,1416985000	3,369195878589999E-3	16000000
1	158	1,01	3,1419137500	1,022081617869963E-2	16000000
1	159	0,99	3,1416410000	1,538914033031814E-3	16000000
1	158	1,00	3,1416687500	2,422223967195146E-3	16000000
1	158	1,00	3,1412650000	1,042953768746948E-2	16000000
1	159	1,01	3,1412990000	9,347284074448813E-3	16000000
2	159	1,99	3,1415762500	5,221424800065371E-4	32000000
2	160	1,98	3,1418047500	6,751238419291961E-3	32000000
2	160	1,98	3,1410826250	1,623471423674852E-2	32000000
2	159	1,99	3,1411602500	1,376383374525134E-2	32000000
2	167	1,90	3,1417811250	5,999231313187194E-3	32000000
2	161	1,96	3,1416966250	3,309512774925730E-3	32000000
2	159	1,99	3,1417317500	4,427576250150615E-3	32000000
2	159	1,99	3,1415963750	1,184561659466023E-4	32000000
2	160	1,98	3,1409298750	2,109689774821411E-2	32000000
2	165	1,93	3,1412158750	1,199323500335742E-2	32000000
3	164	2,90	3,1417021667	3,485909503526234E-3	48000000
3	161	2,96	3,1417979167	6,533726663730905E-3	48000000
3	171	2,78	3,1417136667	3,851965872632217E-3	48000000
3	161	2,99	3,1415830833	3,046307244454818E-4	48000000
3	163	2,91	3,1413800833	6,766321413974943E-3	48000000
3	161	2,95	3,1422109167	1,967992496312135E-2	48000000
3	169	2,81	3,1409871667	1,927324735861547E-2	48000000
3	160	2,99	3,1414582500	4,278199136977257E-3	48000000
3	167	2,86	3,1422110000	1,968257754551366E-2	48000000
3	162	2,94	3,1415846667	2,542316591330715E-4	48000000
4	166	3,81	3,1417413750	4,733949515606465E-3	64000000
4	175	3,65	3,1413826250	6,685417651242925E-3	64000000
4	170	3,76	3,1418838125	9,267875956939767E-3	64000000
4	168	3,79	3,1413108750	8,969291084612802E-3	64000000
4	167	3,80	3,1419330625	1,083555214639496E-2	64000000
4	162	3,94	3,1417568125	5,225340402405999E-3	64000000
4	176	3,61	3,1414243125	5,358463313214301E-3	64000000
4	166	3,85	3,1412161875	1,198328781941102E-2	64000000
4	170	3,73	3,1414883750	3,319290604838241E-3	64000000
4	163	3,89	3,1415310625	1,960505278200925E-3	64000000
5	169	4,69	3,1415878500	1,529030120297901E-4	80000000
5	170	4,66	3,1417073500	3,650900127861036E-3	80000000
5	183	4,34	3,1415354500	1,820846815631341E-3	80000000
5	175	4,53	3,1415932000	1,739277707548347E-5	80000000
5	169	4,70	3,1414666500	4,010818832582252E-3	80000000
5	170	4,66	3,1417507500	5,032365033899539E-3	80000000
5	188	4,22	3,1414642000	4,088804754689804E-3	80000000
5	190	4,18	3,1415273000	2,080269372877707E-3	80000000
5	167	4,75	3,1412530000	1,081150955090101E-2	80000000
5	177	4,49	3,1417219500	4,115632561692132E-3	80000000
6	193	4,95	3,1415629583	9,452293703844855E-4	96000000
6	188	5,07	3,1414517500	4,485100562997370E-3	96000000
